Image,Red Percentage,Magnitude
contourf_641.png,1.29,7.4
contourf_776.png,1.29,7.6
contourf_767.png,1.29,7.6
contourf_84.png,1.29,7.9
contourf_793.png,1.28,7.4
contourf_397.png,1.28,7.5
contourf_601.png,1.28,7.9
contourf_398.png,1.27,7.2
contourf_313.png,1.27,7.9
contourf_512.png,1.26,7.8
contourf_280.png,1.26,7.5
contourf_591.png,1.26,7.9
contourf_326.png,1.25,7.8
contourf_233.png,1.24,6.9
contourf_687.png,1.23,6.2
contourf_663.png,1.23,6.8
contourf_579.png,1.23,6.5
contourf_448.png,1.23,6.4
contourf_510.png,1.23,6.9
contourf_358.png,1.22,6.4
contourf_616.png,1.22,6.2
contourf_570.png,1.21,6.5
contourf_736.png,1.21,6.3
contourf_755.png,1.21,6.1
contourf_316.png,1.21,6.3
contourf_678.png,1.21,6.0
contourf_396.png,1.19,6.8
contourf_265.png,1.19,6.4
contourf_385.png,1.18,6.7
contourf_603.png,1.18,6.5
contourf_658.png,1.17,6.8
contourf_481.png,1.16,6.3
contourf_63.png,1.16,6.4
contourf_662.png,1.16,6.3
contourf_644.png,1.15,6.9
contourf_111.png,1.14,6.4
contourf_698.png,1.13,6.8
contourf_376.png,1.12,6.0
contourf_758.png,1.12,6.8
contourf_194.png,1.11,6.5
contourf_531.png,1.11,6.2
contourf_161.png,1.10,6.4
contourf_759.png,1.09,6.8
contourf_264.png,1.09,6.5
contourf_325.png,1.09,6.9
contourf_408.png,1.09,6.7
contourf_665.png,1.09,6.4
contourf_621.png,1.08,6.6
contourf_105.png,1.08,6.4
contourf_436.png,1.07,6.2
contourf_309.png,1.07,6.1
contourf_25.png,1.07,6.6
contourf_190.png,1.06,6.5
contourf_130.png,1.06,6.3
contourf_306.png,1.06,7.0
contourf_753.png,1.05,6.7
contourf_431.png,1.05,6.6
contourf_843.png,1.05,6.2
contourf_137.png,1.04,6.9
contourf_859.png,1.04,6.7
contourf_329.png,1.04,6.3
contourf_196.png,1.04,6.8
contourf_357.png,1.03,6.4
contourf_717.png,1.02,6.2
contourf_488.png,1.02,6.3
contourf_840.png,1.02,6.4
contourf_560.png,1.01,7.0
contourf_52.png,1.01,6.1
contourf_614.png,1.01,6.6
contourf_124.png,1.00,6.1
contourf_443.png,1.00,6.1
contourf_335.png,1.00,5.6
contourf_518.png,0.99,5.7
contourf_602.png,0.99,6.0
contourf_558.png,0.99,5.7
contourf_119.png,0.98,5.8
contourf_167.png,0.98,5.6
contourf_308.png,0.98,5.7
contourf_494.png,0.98,5.3
contourf_187.png,0.97,5.4
contourf_499.png,0.97,5.6
contourf_371.png,0.97,5.2
contourf_754.png,0.96,5.1
contourf_718.png,0.96,5.1
contourf_184.png,0.96,5.7
contourf_845.png,0.96,5.0
contourf_741.png,0.96,5.2
contourf_827.png,0.95,5.9
contourf_191.png,0.94,5.4
contourf_529.png,0.94,5.7
contourf_608.png,0.93,5.1
contourf_581.png,0.93,5.1
contourf_263.png,0.92,5.4
contourf_800.png,0.92,5.3
contourf_43.png,0.91,5.9
contourf_449.png,0.91,5.8
contourf_458.png,0.91,5.9
contourf_842.png,0.91,5.4
contourf_282.png,0.91,5.8
contourf_762.png,0.90,5.4
contourf_459.png,0.90,5.2
contourf_201.png,0.89,5.3
contourf_702.png,0.89,5.5
contourf_516.png,0.88,5.1
contourf_714.png,0.88,5.5
contourf_757.png,0.87,5.1
contourf_715.png,0.87,5.3
contourf_148.png,0.86,5.7
contourf_394.png,0.86,5.5
contourf_310.png,0.85,5.3
contourf_159.png,0.85,5.2
contourf_122.png,0.84,5.1
contourf_344.png,0.84,5.2
contourf_821.png,0.84,5.3
contourf_610.png,0.84,5.8
contourf_416.png,0.83,5.2
contourf_146.png,0.83,5.8
contourf_18.png,0.82,5.5
contourf_514.png,0.82,5.9
contourf_168.png,0.82,5.4
contourf_317.png,0.82,6.0
contourf_723.png,0.82,5.5
contourf_72.png,0.81,6.0
contourf_174.png,0.81,5.4
contourf_110.png,0.81,5.6
contourf_704.png,0.80,5.8
contourf_88.png,0.80,5.1
contourf_836.png,0.80,5.3
contourf_468.png,0.80,5.7
contourf_245.png,0.79,5.9
contourf_466.png,0.79,5.3
contourf_815.png,0.79,5.7
contourf_250.png,0.79,5.0
contourf_107.png,0.78,5.1
contourf_434.png,0.78,5.7
contourf_103.png,0.78,5.7
contourf_163.png,0.77,5.6
contourf_637.png,0.77,5.7
contourf_670.png,0.76,5.2
contourf_734.png,0.76,5.2
contourf_68.png,0.76,5.7
contourf_337.png,0.76,5.5
contourf_355.png,0.75,5.1
contourf_370.png,0.75,5.1
contourf_763.png,0.75,5.5
contourf_863.png,0.75,4.8
contourf_328.png,0.72,4.6
contourf_522.png,0.72,5.0
contourf_237.png,0.71,4.3
contourf_862.png,0.71,4.2
contourf_144.png,0.71,4.5
contourf_452.png,0.70,4.5
contourf_115.png,0.70,4.9
contourf_605.png,0.69,4.0
contourf_562.png,0.68,4.5
contourf_819.png,0.68,4.0
contourf_207.png,0.68,4.2
contourf_708.png,0.67,4.8
contourf_71.png,0.67,4.8
contourf_760.png,0.67,4.9
contourf_114.png,0.66,4.6
contourf_874.png,0.66,4.8
contourf_349.png,0.66,4.8
contourf_127.png,0.65,4.1
contourf_92.png,0.64,4.8
contourf_490.png,0.63,4.0
contourf_650.png,0.63,4.3
contourf_222.png,0.63,4.3
contourf_27.png,0.63,4.9
contourf_409.png,0.63,4.3
contourf_464.png,0.62,4.9
contourf_136.png,0.62,4.5
contourf_556.png,0.61,4.0
contourf_35.png,0.61,4.7
contourf_139.png,0.61,4.9
contourf_211.png,0.60,5.0
contourf_395.png,0.60,4.6
contourf_850.png,0.60,4.0
contourf_451.png,0.60,4.6
contourf_220.png,0.59,4.8
contourf_401.png,0.58,4.9
contourf_305.png,0.57,4.9
contourf_172.png,0.57,4.5
contourf_303.png,0.57,4.3
contourf_455.png,0.57,4.8
contourf_134.png,0.56,4.4
contourf_479.png,0.55,4.9
contourf_100.png,0.55,4.7
contourf_872.png,0.55,4.1
contourf_95.png,0.55,4.9
contourf_786.png,0.55,4.8
contourf_766.png,0.54,4.3
contourf_419.png,0.54,4.8
contourf_343.png,0.53,4.4
contourf_461.png,0.52,4.9
contourf_185.png,0.52,4.1
contourf_640.png,0.51,4.2
contourf_525.png,0.50,4.1
contourf_524.png,0.50,4.7
contourf_140.png,0.50,4.8
contourf_50.png,0.50,4.1
contourf_356.png,0.50,4.2
contourf_574.png,0.50,3.8
contourf_427.png,0.50,3.8
contourf_129.png,0.50,3.6
contourf_89.png,0.49,3.8
contourf_538.png,0.49,3.7
contourf_267.png,0.48,3.7
contourf_391.png,0.48,3.7
contourf_323.png,0.48,3.9
contourf_682.png,0.47,3.9
contourf_445.png,0.47,3.6
contourf_351.png,0.47,3.5
contourf_661.png,0.46,3.8
contourf_792.png,0.46,3.7
contourf_417.png,0.45,3.8
contourf_53.png,0.45,3.7
contourf_566.png,0.44,3.7
contourf_553.png,0.43,3.8
contourf_62.png,0.43,3.9
contourf_169.png,0.43,3.8
contourf_404.png,0.41,3.7
contourf_656.png,0.39,3.7
contourf_289.png,0.39,3.8
contourf_32.png,0.37,3.9
contourf_147.png,0.37,3.8
contourf_557.png,0.37,3.7
contourf_633.png,0.37,3.6
contourf_592.png,0.37,3.8
contourf_625.png,0.36,3.5
contourf_498.png,0.34,3.7
contourf_728.png,0.34,3.5
contourf_59.png,0.34,3.9
contourf_106.png,0.34,3.5
contourf_117.png,0.34,3.8
contourf_432.png,0.34,3.5
contourf_272.png,0.33,3.5
contourf_274.png,0.32,3.6
contourf_691.png,0.32,3.5
contourf_569.png,0.32,3.6
contourf_315.png,0.32,3.6
contourf_823.png,0.32,3.8
contourf_620.png,0.32,3.6
contourf_804.png,0.31,3.8
contourf_789.png,0.31,3.6
contourf_61.png,0.30,3.6
contourf_491.png,0.30,3.6
contourf_425.png,0.30,3.6
contourf_517.png,0.29,3.7
contourf_16.png,0.29,3.6
contourf_846.png,0.29,3.7
contourf_504.png,0.29,3.5
contourf_774.png,0.28,3.7
contourf_164.png,0.28,3.6
contourf_262.png,0.28,3.8
contourf_497.png,0.27,3.6
contourf_688.png,0.27,3.5
contourf_817.png,0.27,3.7
contourf_701.png,0.27,3.9
contourf_636.png,0.27,3.6
contourf_429.png,0.27,3.7
contourf_572.png,0.26,3.7
contourf_390.png,0.26,3.6
contourf_710.png,0.26,3.5
contourf_377.png,0.26,3.7
contourf_777.png,0.26,3.8
contourf_98.png,0.26,3.8
contourf_515.png,0.26,3.6
contourf_340.png,0.26,3.8
contourf_460.png,0.26,3.7
contourf_527.png,0.26,3.8
contourf_511.png,0.25,3.9
contourf_575.png,0.25,3.8
contourf_444.png,0.25,3.7
contourf_686.png,0.24,3.6
contourf_247.png,0.24,3.6
contourf_487.png,0.24,3.7
contourf_631.png,0.23,3.7
contourf_6.png,0.23,3.7
contourf_334.png,0.23,3.5
contourf_133.png,0.23,3.8
contourf_654.png,0.22,3.7
contourf_359.png,0.22,3.5
contourf_40.png,0.22,3.5
contourf_290.png,0.22,3.9
contourf_788.png,0.21,3.8
contourf_55.png,0.21,3.8
contourf_215.png,0.21,3.9
contourf_725.png,0.21,3.6
contourf_671.png,0.21,3.8
contourf_236.png,0.21,3.8
contourf_594.png,0.20,3.7
contourf_818.png,0.20,3.5
contourf_638.png,0.20,3.9
contourf_1.png,0.20,3.8
contourf_113.png,0.20,3.9
contourf_828.png,0.20,3.6
contourf_91.png,0.20,3.8
contourf_839.png,0.20,3.6
contourf_683.png,0.20,3.6
contourf_367.png,0.20,3.9
contourf_78.png,0.19,3.9
contourf_647.png,0.19,3.6
contourf_679.png,0.19,3.6
contourf_769.png,0.19,3.8
contourf_166.png,0.19,3.7
contourf_834.png,0.19,3.8
contourf_500.png,0.19,3.7
contourf_484.png,0.19,3.6
contourf_482.png,0.19,3.8
contourf_70.png,0.19,3.8
contourf_143.png,0.19,3.9
contourf_275.png,0.19,3.7
contourf_780.png,0.19,3.5
contourf_380.png,0.19,3.8
contourf_108.png,0.19,3.9
contourf_833.png,0.18,3.9
contourf_576.png,0.18,3.6
contourf_160.png,0.18,3.6
contourf_338.png,0.18,3.7
contourf_23.png,0.18,3.8
contourf_477.png,0.18,3.8
contourf_855.png,0.18,3.7
contourf_392.png,0.18,3.7
contourf_870.png,0.18,3.6
contourf_228.png,0.18,3.8
contourf_462.png,0.18,3.8
contourf_721.png,0.18,3.9
contourf_151.png,0.18,3.7
contourf_248.png,0.17,3.5
contourf_319.png,0.17,3.6
contourf_690.png,0.17,3.5
contourf_811.png,0.17,3.8
contourf_218.png,0.17,3.6
contourf_505.png,0.17,3.9
contourf_596.png,0.17,3.8
contourf_54.png,0.17,3.8
contourf_744.png,0.17,3.5
contourf_36.png,0.17,3.9
contourf_680.png,0.17,3.8
contourf_411.png,0.17,3.5
contourf_300.png,0.17,3.7
contourf_643.png,0.17,3.7
contourf_868.png,0.16,3.6
contourf_869.png,0.16,3.7
contourf_745.png,0.16,3.6
contourf_600.png,0.16,3.6
contourf_587.png,0.16,3.6
contourf_363.png,0.16,3.8
contourf_635.png,0.16,3.6
contourf_180.png,0.16,3.6
contourf_724.png,0.16,3.8
contourf_470.png,0.15,3.6
contourf_126.png,0.15,3.8
contourf_765.png,0.15,3.7
contourf_253.png,0.15,3.6
contourf_659.png,0.15,3.9
contourf_345.png,0.15,3.7
contourf_519.png,0.15,3.6
contourf_10.png,0.15,3.8
contourf_327.png,0.15,3.7
contourf_507.png,0.15,3.6
contourf_299.png,0.15,3.7
contourf_652.png,0.14,3.8
contourf_623.png,0.14,3.5
contourf_182.png,0.14,3.6
contourf_96.png,0.14,3.5
contourf_611.png,0.14,3.9
contourf_496.png,0.14,3.8
contourf_634.png,0.14,3.6
contourf_508.png,0.14,3.8
contourf_221.png,0.14,3.9
contourf_131.png,0.14,3.7
contourf_200.png,0.14,3.6
contourf_65.png,0.14,3.5
contourf_426.png,0.14,3.5
contourf_197.png,0.14,3.7
contourf_368.png,0.13,3.5
contourf_439.png,0.13,3.6
contourf_57.png,0.13,3.8
contourf_875.png,0.13,3.7
contourf_748.png,0.13,3.6
contourf_613.png,0.13,3.9
contourf_599.png,0.13,3.5
contourf_48.png,0.13,3.6
contourf_597.png,0.13,3.6
contourf_206.png,0.13,3.9
contourf_709.png,0.13,3.7
contourf_825.png,0.13,3.8
contourf_51.png,0.13,3.9
contourf_90.png,0.13,3.7
contourf_186.png,0.13,3.5
contourf_502.png,0.13,3.8
contourf_204.png,0.13,3.7
contourf_551.png,0.12,3.6
contourf_595.png,0.12,3.6
contourf_217.png,0.12,3.6
contourf_64.png,0.12,3.6
contourf_179.png,0.12,3.7
contourf_311.png,0.12,3.5
contourf_232.png,0.12,3.8
contourf_322.png,0.12,3.8
contourf_624.png,0.12,3.9
contourf_31.png,0.12,3.6
contourf_24.png,0.12,3.8
contourf_824.png,0.12,3.8
contourf_513.png,0.12,3.7
contourf_58.png,0.12,3.7
contourf_301.png,0.12,3.8
contourf_271.png,0.12,3.9
contourf_388.png,0.12,3.6
contourf_450.png,0.12,3.8
contourf_541.png,0.12,3.7
contourf_799.png,0.12,3.7
contourf_116.png,0.11,3.6
contourf_829.png,0.11,3.5
contourf_364.png,0.11,3.7
contourf_520.png,0.11,3.5
contourf_751.png,0.11,3.7
contourf_293.png,0.11,3.8
contourf_785.png,0.11,3.6
contourf_805.png,0.11,3.6
contourf_176.png,0.11,3.6
contourf_278.png,0.11,3.6
contourf_835.png,0.11,3.9
contourf_739.png,0.11,3.7
contourf_791.png,0.11,3.9
contourf_803.png,0.11,3.7
contourf_152.png,0.11,3.7
contourf_619.png,0.11,3.9
contourf_69.png,0.11,3.8
contourf_738.png,0.10,3.7
contourf_422.png,0.10,3.8
contourf_453.png,0.10,3.8
contourf_743.png,0.10,3.7
contourf_485.png,0.10,3.8
contourf_254.png,0.10,3.6
contourf_20.png,0.10,3.8
contourf_125.png,0.10,3.7
contourf_469.png,0.10,3.6
contourf_333.png,0.10,3.6
contourf_257.png,0.10,3.5
contourf_783.png,0.10,3.7
contourf_384.png,0.10,3.5
contourf_454.png,0.10,3.5
contourf_101.png,0.10,3.8
contourf_816.png,0.10,3.7
contourf_37.png,0.10,3.8
contourf_864.png,0.10,3.5
contourf_655.png,0.10,3.9
contourf_14.png,0.09,3.5
contourf_346.png,0.09,3.6
contourf_692.png,0.09,3.8
contourf_104.png,0.09,3.6
contourf_389.png,0.09,3.9
contourf_826.png,0.09,3.8
contourf_415.png,0.09,3.7
contourf_259.png,0.09,3.5
contourf_255.png,0.09,3.7
contourf_764.png,0.09,3.7
contourf_378.png,0.09,3.6
contourf_695.png,0.09,3.5
contourf_403.png,0.09,3.8
contourf_653.png,0.09,3.5
contourf_56.png,0.09,3.8
contourf_740.png,0.09,3.8
contourf_38.png,0.09,3.7
contourf_234.png,0.09,3.6
contourf_675.png,0.09,3.7
contourf_808.png,0.09,3.6
contourf_407.png,0.09,3.8
contourf_787.png,0.09,3.9
contourf_700.png,0.09,3.8
contourf_768.png,0.09,3.7
contourf_382.png,0.09,3.6
contourf_583.png,0.09,3.5
contourf_281.png,0.08,3.5
contourf_802.png,0.08,3.7
contourf_386.png,0.08,3.9
contourf_694.png,0.08,3.8
contourf_681.png,0.08,3.6
contourf_83.png,0.08,3.8
contourf_75.png,0.08,3.8
contourf_628.png,0.08,3.7
contourf_85.png,0.08,3.9
contourf_526.png,0.08,3.9
contourf_677.png,0.08,3.9
contourf_838.png,0.08,3.6
contourf_243.png,0.08,3.6
contourf_674.png,0.08,3.7
contourf_181.png,0.08,3.7
contourf_467.png,0.08,3.8
contourf_80.png,0.08,3.6
contourf_227.png,0.08,3.8
contourf_778.png,0.08,3.7
contourf_79.png,0.08,3.6
contourf_17.png,0.08,3.8
contourf_564.png,0.08,3.9
contourf_428.png,0.08,3.6
contourf_810.png,0.08,3.7
contourf_645.png,0.08,3.9
contourf_606.png,0.08,3.6
contourf_314.png,0.07,3.8
contourf_442.png,0.07,3.5
contourf_849.png,0.07,3.6
contourf_331.png,0.07,3.8
contourf_814.png,0.07,3.8
contourf_39.png,0.07,3.5
contourf_730.png,0.07,3.7
contourf_235.png,0.07,3.7
contourf_224.png,0.07,3.9
contourf_141.png,0.07,3.6
contourf_379.png,0.07,3.5
contourf_651.png,0.07,3.9
contourf_456.png,0.07,3.9
contourf_203.png,0.07,3.7
contourf_782.png,0.07,3.7
contourf_773.png,0.07,3.7
contourf_582.png,0.07,3.8
contourf_713.png,0.07,3.7
contourf_30.png,0.07,3.5
contourf_158.png,0.07,3.8
contourf_294.png,0.07,3.7
contourf_214.png,0.07,3.6
contourf_852.png,0.07,3.8
contourf_430.png,0.07,3.6
contourf_3.png,0.07,3.8
contourf_642.png,0.07,3.6
contourf_530.png,0.07,3.6
contourf_750.png,0.07,3.6
contourf_60.png,0.07,3.7
contourf_770.png,0.06,3.7
contourf_533.png,0.06,3.8
contourf_747.png,0.06,3.6
contourf_273.png,0.06,3.6
contourf_797.png,0.06,3.9
contourf_812.png,0.06,3.7
contourf_42.png,0.06,3.8
contourf_807.png,0.06,3.7
contourf_649.png,0.06,3.8
contourf_276.png,0.06,3.8
contourf_418.png,0.06,3.6
contourf_830.png,0.06,3.7
contourf_77.png,0.06,3.7
contourf_545.png,0.06,3.8
contourf_722.png,0.06,3.8
contourf_312.png,0.06,3.5
contourf_860.png,0.06,3.9
contourf_423.png,0.06,3.8
contourf_716.png,0.06,3.7
contourf_383.png,0.06,3.7
contourf_854.png,0.06,3.7
contourf_703.png,0.06,3.9
contourf_699.png,0.06,3.6
contourf_171.png,0.06,3.8
contourf_387.png,0.06,3.5
contourf_366.png,0.06,3.5
contourf_543.png,0.06,3.8
contourf_876.png,0.06,3.8
contourf_239.png,0.06,3.7
contourf_350.png,0.06,3.7
contourf_44.png,0.06,3.8
contourf_539.png,0.06,3.9
contourf_726.png,0.06,3.7
contourf_457.png,0.06,3.9
contourf_503.png,0.05,3.7
contourf_123.png,0.05,3.7
contourf_9.png,0.05,3.6
contourf_362.png,0.05,3.7
contourf_590.png,0.05,3.7
contourf_858.png,0.05,3.5
contourf_622.png,0.05,3.6
contourf_577.png,0.05,3.6
contourf_279.png,0.05,3.7
contourf_501.png,0.05,3.7
contourf_441.png,0.05,3.8
contourf_226.png,0.05,3.9
contourf_45.png,0.05,3.7
contourf_737.png,0.05,3.6
contourf_412.png,0.05,3.5
contourf_820.png,0.05,3.7
contourf_231.png,0.05,3.8
contourf_707.png,0.05,3.6
contourf_822.png,0.05,3.8
contourf_8.png,0.05,3.6
contourf_509.png,0.05,3.6
contourf_238.png,0.05,3.8
contourf_142.png,0.05,3.6
contourf_446.png,0.05,3.5
contourf_676.png,0.05,3.8
contourf_21.png,0.05,3.7
contourf_348.png,0.05,3.8
contourf_145.png,0.05,3.9
contourf_229.png,0.05,3.9
contourf_209.png,0.05,3.9
contourf_286.png,0.05,3.6
contourf_851.png,0.05,3.6
contourf_706.png,0.05,3.6
contourf_437.png,0.05,3.6
contourf_13.png,0.05,3.8
contourf_742.png,0.05,3.6
contourf_796.png,0.05,3.8
contourf_155.png,0.05,3.7
contourf_775.png,0.05,3.7
contourf_193.png,0.05,3.7
contourf_399.png,0.05,3.8
contourf_844.png,0.05,3.6
contourf_472.png,0.05,3.8
contourf_341.png,0.05,3.7
contourf_320.png,0.05,3.6
contourf_489.png,0.04,3.9
contourf_478.png,0.04,3.6
contourf_593.png,0.04,3.6
contourf_413.png,0.04,3.5
contourf_781.png,0.04,3.7
contourf_251.png,0.04,3.8
contourf_440.png,0.04,3.7
contourf_353.png,0.04,3.6
contourf_260.png,0.04,3.6
contourf_617.png,0.04,3.6
contourf_205.png,0.04,3.8
contourf_542.png,0.04,3.6
contourf_15.png,0.04,3.8
contourf_809.png,0.04,3.5
contourf_97.png,0.04,3.8
contourf_749.png,0.04,3.7
contourf_475.png,0.04,3.7
contourf_406.png,0.04,3.6
contourf_219.png,0.04,3.8
contourf_433.png,0.04,3.6
contourf_732.png,0.04,3.8
contourf_330.png,0.04,3.8
contourf_138.png,0.04,3.7
contourf_33.png,0.04,3.7
contourf_523.png,0.04,3.6
contourf_580.png,0.04,3.6
contourf_841.png,0.04,3.9
contourf_34.png,0.04,3.7
contourf_492.png,0.04,3.6
contourf_102.png,0.04,3.8
contourf_848.png,0.04,3.9
contourf_109.png,0.04,3.7
contourf_471.png,0.04,3.7
contourf_150.png,0.04,3.7
contourf_7.png,0.04,3.5
contourf_170.png,0.04,3.7
contourf_790.png,0.03,3.7
contourf_296.png,0.03,3.6
contourf_121.png,0.03,3.7
contourf_240.png,0.03,3.7
contourf_244.png,0.03,3.5
contourf_375.png,0.03,3.7
contourf_771.png,0.03,3.8
contourf_28.png,0.03,3.5
contourf_183.png,0.03,3.9
contourf_806.png,0.03,3.8
contourf_752.png,0.03,3.6
contourf_67.png,0.03,3.8
contourf_421.png,0.03,3.6
contourf_246.png,0.03,3.7
contourf_135.png,0.03,3.5
contourf_532.png,0.03,3.8
contourf_684.png,0.03,3.7
contourf_847.png,0.03,3.6
contourf_199.png,0.03,3.5
contourf_495.png,0.03,3.5
contourf_2.png,0.03,3.8
contourf_639.png,0.03,3.8
contourf_118.png,0.03,3.7
contourf_473.png,0.03,3.6
contourf_189.png,0.03,3.7
contourf_720.png,0.03,3.7
contourf_550.png,0.03,3.6
contourf_480.png,0.03,3.6
contourf_711.png,0.03,3.6
contourf_360.png,0.03,3.9
contourf_463.png,0.03,3.8
contourf_175.png,0.03,3.5
contourf_536.png,0.03,3.6
contourf_447.png,0.03,3.6
contourf_157.png,0.03,3.6
contourf_474.png,0.03,3.8
contourf_673.png,0.03,3.7
contourf_571.png,0.03,3.9
contourf_629.png,0.03,3.8
contourf_297.png,0.03,3.8
contourf_607.png,0.02,3.9
contourf_733.png,0.02,3.7
contourf_93.png,0.02,3.8
contourf_630.png,0.02,3.9
contourf_29.png,0.02,3.8
contourf_365.png,0.02,3.8
contourf_162.png,0.02,3.6
contourf_249.png,0.02,3.7
contourf_410.png,0.02,3.6
contourf_727.png,0.02,3.5
contourf_689.png,0.02,3.6
contourf_99.png,0.02,3.6
contourf_565.png,0.02,3.7
contourf_856.png,0.02,3.6
contourf_646.png,0.02,3.5
contourf_420.png,0.02,3.7
contourf_165.png,0.02,3.6
contourf_22.png,0.02,3.5
contourf_213.png,0.02,3.8
contourf_173.png,0.02,3.5
contourf_291.png,0.02,3.7
contourf_11.png,0.02,3.6
contourf_544.png,0.02,3.6
contourf_94.png,0.02,3.7
contourf_493.png,0.02,3.9
contourf_4.png,0.02,3.7
contourf_295.png,0.01,3.7
contourf_685.png,0.01,3.9
contourf_268.png,0.01,3.6
contourf_192.png,0.01,3.5
contourf_302.png,0.01,3.9
contourf_697.png,0.01,3.7
contourf_256.png,0.01,3.8
contourf_563.png,0.01,3.5
contourf_374.png,0.01,3.6
contourf_573.png,0.01,3.8
contourf_342.png,0.01,3.8
contourf_178.png,0.01,3.6
contourf_552.png,0.01,3.7
contourf_589.png,0.01,3.8
contourf_534.png,0.01,3.9
contourf_400.png,0.01,3.7
contourf_719.png,0.01,3.7
contourf_307.png,0.01,3.7
contourf_149.png,0.01,3.7
contourf_746.png,0.01,3.7
contourf_554.png,0.01,3.8
contourf_177.png,0.01,3.5
contourf_41.png,0.01,3.8
contourf_476.png,0.01,3.5
contourf_521.png,0.01,3.7
contourf_696.png,0.01,3.7
contourf_336.png,0.01,3.7
contourf_277.png,0.01,3.8
contourf_584.png,0.00,3.8
contourf_242.png,0.00,3.6
contourf_381.png,0.00,3.7
contourf_693.png,0.00,3.9
contourf_266.png,0.00,3.7
contourf_270.png,0.00,3.8
contourf_66.png,0.00,3.7
contourf_861.png,0.00,3.7
contourf_198.png,0.00,3.8
contourf_567.png,0.00,3.8
contourf_258.png,0.00,3.7
contourf_561.png,0.00,3.6
contourf_332.png,0.00,3.6
contourf_559.png,0.00,3.7
contourf_867.png,0.00,3.6
contourf_837.png,0.00,3.6
